verse_key,surah_number,surah_name_ar,ayah_number,verified_end_page,verified_end_x,verified_end_y,stored_page,stored_end_x,stored_end_y,endpoint_status,endpoint_status_ar,stored_nearest_verified_verse,same_page_distance_px,nearest_marker_distance_px,start_status,start_status_ar,requires_endpoint_fix,requires_start_geometry_fix,notes_ar
1:1,1,الفاتحة,1,1,366.5,801.5,1,366.5,801.5,CORRECT,مطابق,1:1,0.0,0.0,SURAH_START_OK_SINGLE_LINE,بداية سورة أحادية السطر سليمة,False,False,
1:2,1,الفاتحة,2,1,288.0,902.5,1,288.0,902.5,CORRECT,مطابق,1:2,0.0,0.0,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
1:3,1,الفاتحة,3,1,603.0,1001.5,1,603.0,1001.5,CORRECT,مطابق,1:3,0.0,0.0,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
1:4,1,الفاتحة,4,1,211.0,1001.5,1,211.0,1001.5,CORRECT,مطابق,1:4,0.0,0.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,False,False,
1:5,1,الفاتحة,5,1,349.5,1101.5,1,349.5,1101.5,CORRECT,مطابق,1:5,0.0,0.0,START_ANCHOR_OK_EXTRA_BLANK_TAIL_RECT,المرساة صحيحة لكن يوجد مستطيل زائد فوق فراغ قبل السطر التالي,False,True,احذف أول مستطيل الفارغ وابدأ من يمين السطر التالي
1:6,1,الفاتحة,6,1,556.0,1201.5,1,556.0,1201.5,CORRECT,مطابق,1:6,0.0,0.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,False,False,
1:7,1,الفاتحة,7,1,414.0,1401.5,1,414.0,1401.5,CORRECT,مطابق,1:7,0.0,0.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,False,False,
2:1,2,البقرة,1,2,759.0,905.5,2,759.0,905.5,CORRECT,مطابق,2:1,0.0,0.0,SURAH_START_OK_SINGLE_LINE,بداية سورة أحادية السطر سليمة,False,False,
2:2,2,البقرة,2,2,763.0,1006.5,2,763.0,1006.5,CORRECT,مطابق,2:2,0.0,0.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,False,False,
2:3,2,البقرة,3,2,559.0,1104.5,2,559.0,1104.5,CORRECT,مطابق,2:3,0.0,0.0,START_ANCHOR_OK,مرساة البداية مطابقة لعلامة الآية السابقة,False,False,
