page,verses,endpoint_issues,missing_regions,start_major_issues,blank_tail_rects
1,7,0,0,0,3
2,5,0,0,0,1
3,11,0,0,0,1
4,8,0,0,0,0
5,5,0,0,0,0
6,8,0,0,0,0
7,11,0,0,0,4
8,9,0,0,0,3
9,4,0,0,0,1
10,8,0,0,0,1
11,7,0,0,0,2
12,7,0,0,0,2
13,5,0,0,0,2
14,5,0,0,0,2
15,8,0,0,0,3
16,4,0,0,0,1
17,7,0,0,0,0
18,7,0,0,0,1
19,7,1,0,1,1
20,8,0,0,0,0
21,7,0,0,0,3
22,4,0,0,0,0
23,8,0,0,0,0
24,10,0,0,0,5
25,6,0,0,0,2
26,7,0,0,0,1
27,5,0,0,0,0
28,5,0,0,0,1
29,4,0,0,0,1
30,6,0,0,0,0
31,6,0,0,0,2
32,8,0,0,0,3
33,5,0,0,0,1
34,4,0,0,0,0
35,5,0,0,0,3
36,6,0,0,0,0
37,3,1,0,1,0
38,4,0,0,0,1
39,8,0,0,0,2
40,3,0,0,0,1
41,4,0,0,0,0
42,4,0,0,0,0
43,3,0,0,0,0
44,5,1,0,1,1
45,5,0,0,0,1
46,5,0,0,0,0
47,7,0,0,0,1
48,1,0,0,0,0
49,4,0,0,0,0
50,9,0,0,0,0
51,6,0,0,0,1
52,7,0,0,0,1
53,7,0,0,0,2
54,8,0,0,0,1
55,8,0,0,0,0
56,7,0,0,0,4
57,9,0,0,0,2
58,9,0,0,0,3
59,7,0,0,0,2
60,6,0,0,0,0
61,8,0,0,0,0
62,9,0,0,0,2
63,8,0,0,0,2
64,7,0,0,0,1
65,6,0,0,0,2
66,11,0,0,0,2
67,8,0,0,0,3
68,8,0,0,0,0
69,5,0,0,0,2
70,4,0,0,0,0
71,8,0,0,0,1
72,8,0,0,0,2
73,7,0,0,0,1
74,6,0,0,0,1
75,8,0,0,0,1
76,6,0,0,0,1
77,6,0,0,1,1
78,5,0,0,0,1
79,3,0,0,0,1
80,5,0,0,0,2
81,4,0,0,0,1
82,3,0,0,0,1
83,7,0,0,0,1
84,4,0,0,0,0
85,7,0,0,0,0
86,7,0,0,0,2
87,8,0,0,0,3
88,6,0,0,0,0
89,9,0,0,0,1
90,5,0,0,0,1
91,7,0,0,0,2
92,5,0,0,0,1
93,3,0,0,0,0
94,7,0,0,0,1
95,4,0,0,0,1
96,8,0,0,0,1
97,8,0,0,0,0
98,6,0,0,0,0
99,7,0,0,0,2
100,6,0,0,0,0
101,7,0,0,0,1
102,7,0,0,0,0
103,8,0,0,0,1
104,8,0,0,0,1
105,5,0,0,0,1
106,3,0,0,1,0
107,3,0,0,0,1
108,4,0,0,0,1
109,4,0,0,0,0
110,4,0,0,0,1
111,6,0,0,0,0
112,8,0,0,0,2
113,5,0,0,0,1
114,5,0,0,0,0
115,4,0,0,0,0
116,5,0,0,0,1
117,7,0,0,0,0
118,7,0,0,0,2
119,6,0,0,0,0
120,7,1,0,1,3
121,6,6,0,6,0
122,7,7,0,7,0
123,5,5,1,5,0
124,8,0,0,0,1
125,5,0,0,0,0
126,5,0,0,0,1
127,7,0,0,0,1
128,8,0,0,1,1
129,10,0,0,0,2
130,9,0,0,0,3
131,8,0,0,0,3
132,9,0,0,0,1
133,8,0,0,0,2
134,7,0,0,0,3
135,9,0,0,0,0
136,5,0,0,0,0
137,8,0,0,0,2
